domain,revealId,inscriptionId,commitId,payer,feeKas
stp-bulk-0001.kas,fec7433ee68d191d5a3f0df65365c20f3bcb678da5a0b048465784085d04fed0,fec7433ee68d191d5a3f0df65365c20f3bcb678da5a0b048465784085d04fed0i0,320659993d2ae87c0825009501c384a0283cc38bd7f4935a2072ee86d574a246,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0002.kas,199476b313b7a4f2aa8ca16ba860384a5f218581f2b59fbfb4a19bdc3dc67a59,199476b313b7a4f2aa8ca16ba860384a5f218581f2b59fbfb4a19bdc3dc67a59i0,d4541057360f2081f51b073bc98cdde6312d98b8a657f7cdd297ce7441d6ade6,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0003.kas,c93ddc64d06fd83abff1674d3ada5536e23148dd419615787c6eb34a1d042cfd,c93ddc64d06fd83abff1674d3ada5536e23148dd419615787c6eb34a1d042cfdi0,f531762e7b0f7e198f31403db25debfb1a9598406c1b7c8e3985b857ee1ccc7d,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0004.kas,df9556b7ad7d42caf1e35f03720c7257d83865274c09c2abd41fe321f7c7dce6,df9556b7ad7d42caf1e35f03720c7257d83865274c09c2abd41fe321f7c7dce6i0,53afcc2b2c8e7d4ae0751d2e7f69011b4fbe0e6c34b126aff7467151cbee9046,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0005.kas,d0dc0344eea263ea0dd09f5b971a30b2f8c1658a9a86759bb2bb1759990fff9b,d0dc0344eea263ea0dd09f5b971a30b2f8c1658a9a86759bb2bb1759990fff9bi0,cb7d3f1ef236e47cfb5c8a332875913785cf42564e7e4008859fd04235cb87f8,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0006.kas,59e168b183646324042e076f6a3a2ee0008b9b8c8dd96c141f96bc0f232b9a50,59e168b183646324042e076f6a3a2ee0008b9b8c8dd96c141f96bc0f232b9a50i0,77b69a1bd1eaa517b8bf3adb15c4a3f13c8763e5a31f032700f43bf49ed3c88d,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0007.kas,df05a5aaad5b2e899f6ee6a40be1c362562a9d3c302c6fe0ca13534ff092ec8a,df05a5aaad5b2e899f6ee6a40be1c362562a9d3c302c6fe0ca13534ff092ec8ai0,57d8a4a701018d0f072f1714d063adb212f1220800f2a2f0eafb9ac51f0dd5f4,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0008.kas,69d26564e74cde7541b659845aaa12da42509f871a9be0bc4f94e0da4f981036,69d26564e74cde7541b659845aaa12da42509f871a9be0bc4f94e0da4f981036i0,edb7e6429c8919a6614b8355e37cb1bb32795a411891076a634c0fe5abe5d74e,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0009.kas,03fb7c53ec53397864b27e78fbb54010c0598f7ef0d6cb63a317a4b785c4dd0b,03fb7c53ec53397864b27e78fbb54010c0598f7ef0d6cb63a317a4b785c4dd0bi0,c04ca611dd6cf2b3a34435fe44068bf1d84b7e30b9666110316287395891f419,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0010.kas,3557b325cdc594ac12349c2196996ce32f4223399665b8d0f2afa4397494814f,3557b325cdc594ac12349c2196996ce32f4223399665b8d0f2afa4397494814fi0,4ccd44505a01fb627108f222f7962c4d64b6b26b12d9b964a5f1172fbdc31aa5,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
